"fips","SCC","Pollutant","Emissions","type","year","county"
"145","04013","220100123T","PM25-PRI",3.6,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"146","04013","2230075150","PM25-PRI",0.00284871,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"147","04013","220100123X","PM25-PRI",9.17,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"148","04013","223000115T","PM25-PRI",0.0013797469,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"149","04013","223007531B","PM25-PRI",0.01,"ON-ROAD",1999,"Maricopa County (Phoenix)"
"150","04013","2230075110","PM25-PRI",0.0179184,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"151","04013","220107011T","PM25-PRI",0.09,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"152","04013","220108015B","PM25-PRI",0.0083833952,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"153","04013","2201040290","PM25-PRI",4.51405,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"154","04013","220108017X","PM25-PRI",0.06,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"155","04013","220108031X","PM25-PRI",0.19,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"156","04013","223007219T","PM25-PRI",0.0021543846,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"157","04013","220108021X","PM25-PRI",0.01,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"158","04013","220100113B","PM25-PRI",1.65,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"159","04013","2201080150","PM25-PRI",0.0136847,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"160","04013","2230060290","PM25-PRI",0.0258058,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"161","04013","220107017X","PM25-PRI",0.49,"ON-ROAD",1999,"Maricopa County (Phoenix)"
"162","04013","223007433B","PM25-PRI",1.03,"ON-ROAD",1999,"Maricopa County (Phoenix)"
"163","04013","2230074110","PM25-PRI",0.438533,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"164","04013","220100111T","PM25-PRI",1.06,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"165","04013","2230071170","PM25-PRI",0.402531,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"166","04013","2201020230","PM25-PRI",8.3696,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"167","04013","2201070250","PM25-PRI",0.678264,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"168","04013","220104019X","PM25-PRI",0.04,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"169","04013","2201001270","PM25-PRI",13.6551,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"170","04013","223007515T","PM25-PRI",0.01,"ON-ROAD",1999,"Maricopa County (Phoenix)"
"171","04013","223007423X","PM25-PRI",70.87,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"172","04013","223006033B","PM25-PRI",0.34,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"173","04013","223007125B","PM25-PRI",0.19,"ON-ROAD",1999,"Maricopa County (Phoenix)"
"174","04013","223007431B","PM25-PRI",0.6,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"175","04013","223007113T","PM25-PRI",0.01,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"176","04013","220108031B","PM25-PRI",0.06,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"177","04013","223007431X","PM25-PRI",29.95,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"178","04013","220100119T","PM25-PRI",0.09,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"179","04013","223007111X","PM25-PRI",1.85,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"180","04013","2230060210","PM25-PRI",0.00702508,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"181","04013","2230072110","PM25-PRI",0.0557899,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"182","04013","2201080330","PM25-PRI",0.0182289,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"183","04013","2230001210","PM25-PRI",0.02115,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"184","04013","2230001190","PM25-PRI",6.77623e-05,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"185","04013","223007525B","PM25-PRI",0.04,"ON-ROAD",1999,"Maricopa County (Phoenix)"
"186","04013","2201040290","PM25-PRI",3.72204,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"187","04013","2201040210","PM25-PRI",0.174988,"ON-ROAD",2008,"Maricopa County (Phoenix)"
